Year,District,GDP,GrowthRate,State
2003,Unnao,2747.74,-11.98416334,Uttar Pradesh
2003,Varanasi,3549.53,9.237146779,Uttar Pradesh
2004,Agra,5915.91,9.11621164,Uttar Pradesh
2004,Aligarh,4522.32,5.253946162,Uttar Pradesh
2004,Allahabad,6105.17,-0.190947955,Uttar Pradesh
2004,Ambedkar Nagar,1625.66,1.280286086,Uttar Pradesh
2004,Hath Ras (Mahamaya Nagar),2206.17,3.813413768,Uttar Pradesh
2004,Jyotiba Phule Nagar,2853.98,3.326454509,Uttar Pradesh
2005,Agra,6309.36,6.650709696,Uttar Pradesh
2005,Aligarh,4817.18,6.520104725,Uttar Pradesh
2005,Allahabad,6638.74,8.739641976,Uttar Pradesh
2005,Ambedkar Nagar,1793.54,10.32688262,Uttar Pradesh
2005,Hath Ras (Mahamaya Nagar),2118.92,-3.954817625,Uttar Pradesh
2005,Jyotiba Phule Nagar,2880.8,0.939740293,Uttar Pradesh
2004, Agra,"7,101.89",,Uttar Pradesh
2004, Aligarh,"5,434.82",,Uttar Pradesh
2004, Allahabad,"7,847.18",,Uttar Pradesh
2004, Ambedkar Nagar,"1,906.25",,Uttar Pradesh
2004, Amethi,,,Uttar Pradesh
2004, Amorha,"3,596.34",,Uttar Pradesh
2004,Auraiyya,"1,473.03",,Uttar Pradesh
2004,Azamgarh,"3,417.70",,Uttar Pradesh
2004,Badaun,"4,263.14",,Uttar Pradesh
2004,Bagpat,"2,907.27",,Uttar Pradesh
2004,Bahraich,"2,590.73",,Uttar Pradesh
2004,Ballia,"2,359.45",,Uttar Pradesh
2004,Balrampur,"1,978.89",,Uttar Pradesh
2004,Banda,"1,891.85",,Uttar Pradesh
2004,Barabanki,"4,795.01",,Uttar Pradesh
2004,Bareilly,"6,136.90",,Uttar Pradesh
2004,Basti,"2,086.17",,Uttar Pradesh
2004,Bijnor,"6,668.45",,Uttar Pradesh
2004,BulandShahar,"6,879.96",,Uttar Pradesh
2004,Chandauli,"2,075.06",,Uttar Pradesh
2004,Chitrakoot,749.71,,Uttar Pradesh
2004,Deoria,"2,418.19",,Uttar Pradesh
2004,Etah,"4,067.12",,Uttar Pradesh
2004,Etawa,"1,996.44",,Uttar Pradesh
2004,Faizabad,"2,310.48",,Uttar Pradesh
2004,Farrukhabad,"2,345.23",,Uttar Pradesh
2004,Fatehpur,"2,660.54",,Uttar Pradesh
2004,Firozabad,"3,048.03",,Uttar Pradesh
2004,Gautambudh Nagar,"7,353.30",,Uttar Pradesh
2004,Ghaziabad,"8,927.14",,Uttar Pradesh
2004,Ghazipur,"2,942.22",,Uttar Pradesh
2004,Gonda,"2,793.29",,Uttar Pradesh
2004,Gorakhpur,"4,636.91",,Uttar Pradesh
2004,Hamirpur,"1,547.84",,Uttar Pradesh
2004,Hardoi,"3,725.40",,Uttar Pradesh
2004,Hathras,"2,598.40",,Uttar Pradesh
2004,Jalaun,"2,595.81",,Uttar Pradesh
2004,Jaunpur,"3,398.03",,Uttar Pradesh
2004,Jhansi,"3,758.01",,Uttar Pradesh
2004,Kannauj,"1,866.20",,Uttar Pradesh
2004,Kanpur: Rural,"1,888.86",,Uttar Pradesh
2004,Kanpur: Urban,"9,867.24",,Uttar Pradesh
2004,Kanshiram Nagar,0,,Uttar Pradesh
2004,Kaushambi,"1,665.68",,Uttar Pradesh
2004,Kheri,"4,943.91",,Uttar Pradesh
2004,Kushi Nagar,"2,747.22",,Uttar Pradesh
2004,Lalitpur,"1,516.66",,Uttar Pradesh
2004,Lucknow,"11,022.71",,Uttar Pradesh
2004,Maharajganj,"2,121.30",,Uttar Pradesh
2004,Mahoba,"1,329.19",,Uttar Pradesh
2004,Mainpuri,"2,142.18",,Uttar Pradesh
2004,Mathura,"4,053.88",,Uttar Pradesh
2004,Mau,"2,181.34",,Uttar Pradesh
2004,Meerut,"7,176.06",,Uttar Pradesh
2004,Mirzapur,"2,273.74",,Uttar Pradesh
2004,Moradabad,"6,458.19",,Uttar Pradesh
2004,Muzaffarnagar,"7,249.90",,Uttar Pradesh
2004,Pilibhit,"3,240.67",,Uttar Pradesh
2004,Pratapgarh,"2,380.61",,Uttar Pradesh
2004,Rae Bareli,"3,242.59",,Uttar Pradesh
2004,Rampur,"3,031.40",,Uttar Pradesh
2004,Saharanpur,"6,314.72",,Uttar Pradesh
2004,Sant Kabeer Nagar,"1,326.62",,Uttar Pradesh
2004,Sant Ravidas Nagar,"1,622.83",,Uttar Pradesh
2004,Shahjahanpur,"3,708.07",,Uttar Pradesh
2004,Shravasti,"1,278.24",,Uttar Pradesh
2004,Siddharth Nagar,"1,655.23",,Uttar Pradesh
2004,Sitapur,"4,843.20",,Uttar Pradesh
2004,Sonbhadra,"3,920.12",,Uttar Pradesh
2004,Sultanpur,"4,123.21",,Uttar Pradesh
2004,Unnao,"3,813.71",,Uttar Pradesh
2004,Varanasi,"4,365.39",,Uttar Pradesh
2005, Agra,"7,770.26",9.411156748,Uttar Pradesh
2005, Aligarh,"5,840.61",7.466484631,Uttar Pradesh
2005, Allahabad,"8,471.30",7.953430404,Uttar Pradesh
2005, Ambedkar Nagar,"2,171.11",13.89429508,Uttar Pradesh
2005, Amethi,,,Uttar Pradesh
2005, Amorha,"3,667.68",1.983683411,Uttar Pradesh
2005,Auraiyya,"1,632.60",10.83277326,Uttar Pradesh
2005,Azamgarh,"3,992.32",16.81306142,Uttar Pradesh
2005,Badaun,"5,120.55",20.11217084,Uttar Pradesh
2005,Bagpat,"2,855.07",-1.79549887,Uttar Pradesh
2005,Bahraich,"2,774.10",7.077927843,Uttar Pradesh
2005,Ballia,"2,719.46",15.25821696,Uttar Pradesh
2005,Balrampur,"1,992.72",0.698876643,Uttar Pradesh
2005,Banda,"1,987.92",5.078098158,Uttar Pradesh
2005,Barabanki,"4,622.29",-3.602077994,Uttar Pradesh
2005,Bareilly,"6,511.27",6.100311232,Uttar Pradesh
2005,Basti,"2,215.82",6.214738013,Uttar Pradesh
2005,Bijnor,"6,901.40",3.493315538,Uttar Pradesh
2005,BulandShahar,"6,628.83",-3.650166571,Uttar Pradesh
2005,Chandauli,"2,255.85",8.712519156,Uttar Pradesh
2005,Chitrakoot,795.06,6.049005616,Uttar Pradesh
